game_id,date,kind_code,side,team_name,pitcher_acnt,pitcher_name,role_type,inning_pitched_cnt,inning_pitched_div3_cnt,plate_appearances,hitting_cnt,home_run_cnt,strike_out_cnt,earned_run_cnt,run_cnt,era,whip,pitch_cnt,strike_cnt,balk_cnt,bases_onballs_cnt,error_cnt,game_sno,hit_bypitch_cnt,intentional_bases_onballs_cnt,is_current,is_save_fail,is_save_ok,relief_point_cnt,team_code,total_l,total_s,total_w,wild_pitch_cnt
2026-A-1,2026-03-28,A,Visiting,中信兄弟,0000005151,羅戈,先發,6,0,22,4,0,7,1,1,1.5,0.67,74,55,0,0,0,1,0,0,False,0,0,0,ACN011,0,0,0,0
2026-A-1,2026-03-28,A,Visiting,中信兄弟,0000007276,伍立辰,中繼,0,2,5,1,0,0,0,0,0,4.5,18,7,0,2,0,1,0,0,False,0,0,1,ACN011,0,0,0,0
2026-A-1,2026-03-28,A,Visiting,中信兄弟,0000003639,呂彥青,中繼,0,1,1,0,0,1,0,0,0,0,5,3,0,0,0,1,0,0,False,0,0,1,ACN011,0,0,0,0
2026-A-1,2026-03-28,A,Visiting,中信兄弟,0000000776,王凱程,中繼,1,0,5,2,1,1,1,1,9,2,15,10,0,0,0,1,0,0,False,1,0,0,ACN011,0,0,0,0
2026-A-1,2026-03-28,A,Visiting,中信兄弟,0000001232,江忠城,最後一任,0,1,5,1,0,0,0,1,0,6,10,7,0,1,1,1,1,1,True,0,0,0,ACN011,1,0,0,0
2026-A-1,2026-03-28,A,Home,樂天桃猿,0000007062,威能帝,先發,5,0,21,6,0,4,0,0,0,1.4,78,55,0,1,0,1,0,0,False,0,0,0,AJL011,0,0,0,1
2026-A-1,2026-03-28,A,Home,樂天桃猿,0000006237,林子崴,中繼,1,0,3,0,0,1,0,0,0,0,13,11,0,0,0,1,0,0,False,0,0,1,AJL011,0,0,0,0
2026-A-1,2026-03-28,A,Home,樂天桃猿,0000007073,賴胤豪,中繼,0,1,4,3,0,0,2,2,54,9,15,10,0,0,0,1,0,0,False,1,0,0,AJL011,0,0,0,0
2026-A-1,2026-03-28,A,Home,樂天桃猿,0000005509,莊昕諺,中繼,0,2,4,0,0,1,0,0,0,3,22,12,0,2,0,1,0,0,False,0,0,0,AJL011,0,0,0,0
2026-A-1,2026-03-28,A,Home,樂天桃猿,0000000779,陳柏豪,中繼,1,0,3,0,0,1,0,0,0,1,10,5,0,1,0,1,0,0,False,0,0,0,AJL011,0,0,0,0
2026-A-1,2026-03-28,A,Home,樂天桃猿,0000000941,陳冠宇,最後一任,1,0,4,1,0,0,0,0,0,2,16,7,0,1,0,1,0,0,False,0,0,0,AJL011,0,0,1,0
2026-A-10,2026-04-01,A,Visiting,富邦悍將,0000000368,游霆崴,先發,5,0,22,7,0,2,2,4,3.6,1.4,84,55,0,0,0,10,0,0,False,0,0,0,AEO011,1,0,0,0
2026-A-10,2026-04-01,A,Visiting,富邦悍將,0000007593,石梓霖,中繼,1,0,3,0,0,0,0,0,0,0,7,4,0,0,0,10,0,0,False,0,0,0,AEO011,0,0,0,0
2026-A-10,2026-04-01,A,Visiting,富邦悍將,0000000938,張瑞麟,中繼,1,0,4,0,0,1,0,0,0,1,13,9,0,1,0,10,0,0,False,0,0,0,AEO011,0,0,0,0
2026-A-10,2026-04-01,A,Visiting,富邦悍將,0000005561,李建勳,最後一任,1,0,5,1,0,1,0,0,0,1.5,19,12,0,1,0,10,0,0,False,0,0,0,AEO011,0,0,0,0
2026-A-10,2026-04-01,A,Home,統一7-ELEVEn獅,0000001260,郭俊麟,先發,5,0,20,1,0,2,0,0,0,1,89,45,0,4,0,10,1,0,False,0,0,0,ADD011,0,0,1,0
2026-A-10,2026-04-01,A,Home,統一7-ELEVEn獅,0000005282,姚杰宏,中繼,1,1,4,1,0,0,0,0,0,0.75,17,10,0,0,0,10,0,0,False,0,0,0,ADD011,0,0,0,0
2026-A-10,2026-04-01,A,Home,統一7-ELEVEn獅,0000006127,李其峰,中繼,0,2,2,0,0,0,0,0,0,0,4,3,0,0,0,10,0,0,False,0,0,0,ADD011,0,0,0,0
